Date,Date,Close Price,Price Difference Class
2018-04-28 08:00:00,2018-04-28 08:00:00,9281.68,0
2018-04-28 09:00:00,2018-04-28 09:00:00,9271.5,0
2018-04-28 10:00:00,2018-04-28 10:00:00,9269.38,0
2018-04-28 11:00:00,2018-04-28 11:00:00,9202.27,1
2018-04-28 12:00:00,2018-04-28 12:00:00,9364.92,1
2018-04-28 13:00:00,2018-04-28 13:00:00,9374.95,0
2018-04-28 14:00:00,2018-04-28 14:00:00,9311.81,1
2018-04-28 15:00:00,2018-04-28 15:00:00,9333.56,0
2018-04-28 16:00:00,2018-04-28 16:00:00,9297.73,0
2018-04-28 17:00:00,2018-04-28 17:00:00,9284.41,1
2018-04-28 18:00:00,2018-04-28 18:00:00,9389.26,0
2018-04-28 19:00:00,2018-04-28 19:00:00,9385.25,0
2018-04-28 20:00:00,2018-04-28 20:00:00,9365.13,0
2018-04-28 21:00:00,2018-04-28 21:00:00,9267.85,1
2018-04-28 22:00:00,2018-04-28 22:00:00,9337.97,1
2018-04-28 23:00:00,2018-04-28 23:00:00,9340.88,1
2018-04-29 00:00:00,2018-04-29 00:00:00,9386.47,1
